"NameString","Integer column","Date without time","Date and time","Time only","Float column"
"This is the name number 32",29,2009-01-22,2010-03-18 15:17:47,17:36:15, 18.089
"This is the name number 49",38,2003-04-15,2010-03-13 14:11:27,14:23:39, 11.583
"This is the name number 31",78,2008-04-15,2001-10-15 10:10:30,00:20:50, 20.265
"This is the name number 98",33,2003-08-26,2004-04-16 03:21:54,17:22:21, 5.257
"This is the name number 4",34,2010-03-23,2002-02-16 07:44:53,11:56:23, 3.939
"This is the name number 74",42,2006-09-08,2008-03-22 05:20:16,14:59:48, 14.203
"This is the name number 56",15,2006-06-28,2010-01-01 10:52:37,06:10:40, 1.579
"This is the name number 56",14,2008-02-22,2006-10-02 08:04:51,13:55:53, 11.154
"This is the name number 26",27,2007-04-01,2008-03-26 23:33:01,00:27:24, 18.465
"This is the name number 80",76,2001-07-18,2007-06-18 07:43:04,03:33:16, 18.985
"This is the name number 68",20,2001-10-25,2005-09-16 17:36:10,13:58:49, 5.477
"This is the name number 89",55,2003-09-30,2007-04-19 10:44:17,00:59:22, 4.946
"This is the name number 94",48,2008-08-11,2009-10-29 07:54:22,14:17:30, 12.613
"This is the name number 2",13,2004-03-23,2005-08-18 08:22:41,14:20:54, 12.555
"This is the name number 45",40,2006-09-06,2008-09-12 09:17:23,17:32:50, 11.909
"This is the name number 55",64,2003-02-03,2009-06-09 02:11:17,02:52:32, 7.586
"This is the name number 88",71,2006-06-14,2008-07-10 05:48:13,04:26:52, 4.812
"This is the name number 95",40,2002-07-03,2009-10-12 10:55:12,00:38:01, 8.825
"This is the name number 53",58,2005-01-13,2003-02-27 00:43:42,12:36:38, 3.954
"This is the name number 57",72,2010-04-21,2001-04-07 17:09:24,02:13:08, 13.257
"This is the name number 59",10,2005-07-05,2007-03-19 23:06:43,10:37:31, 10.329
"This is the name number 49",70,2010-01-29,2005-08-04 03:19:25,08:47:16, 14.942
"This is the name number 51",53,2000-07-09,2004-06-06 02:24:26,17:48:23, 4.179
"This is the name number 69",95,2002-10-04,2005-11-18 05:32:03,04:15:42, 19.198
"This is the name number 63",2,2005-12-11,2005-04-18 12:49:57,01:00:35, 18.790
"This is the name number 18",63,2006-05-17,2001-06-14 22:27:31,05:39:28, 7.709
"This is the name number 55",77,2006-10-17,2002-05-12 00:15:52,10:35:32, 2.032
"This is the name number 47",19,2000-05-26,2007-09-10 03:51:03,02:27:09, 10.514
"This is the name number 90",94,2009-01-08,2001-01-09 05:41:49,18:17:26, 20.021
"This is the name number 27",41,2008-02-03,2001-09-19 21:07:00,12:16:33, 12.706
"This is the name number 27",31,2001-09-12,2001-09-19 02:22:36,18:18:15, 18.589
"This is the name number 32",2,2002-04-23,2006-10-15 06:23:28,00:06:57, 7.235
"This is the name number 71",45,2005-12-06,2006-03-22 00:00:03,11:48:48, 8.436
"This is the name number 39",56,2004-05-21,2005-10-08 15:49:35,15:33:53, 17.458
"This is the name number 78",45,2009-01-06,2002-08-30 20:13:09,05:24:38, 19.607
"This is the name number 71",99,2003-11-25,2001-06-20 22:41:26,08:18:34, 2.637
"This is the name number 18",65,2004-03-21,2006-04-30 08:11:50,03:22:23, 9.933
"This is the name number 11",98,2008-08-25,2009-08-20 11:57:20,15:32:46, 6.641
"This is the name number 89",56,2010-09-17,2000-11-22 07:18:15,09:36:47, 10.856
"This is the name number 29",19,2008-06-11,2006-06-08 03:53:18,15:07:15, 8.854
"This is the name number 28",12,2006-05-29,2004-05-07 13:11:34,04:45:54, 18.620
"This is the name number 29",68,2006-01-24,2002-09-06 12:03:40,18:00:23, 14.225
"This is the name number 32",43,2010-05-31,2003-04-13 20:42:00,04:27:06, 15.348
"This is the name number 80",28,2009-12-29,2008-02-08 20:53:14,13:25:20, 17.170
"This is the name number 34",37,2001-03-06,2006-10-02 19:26:48,11:25:58, 2.129
"This is the name number 87",98,2003-04-18,2006-11-08 02:19:48,04:44:53, 12.485
"This is the name number 58",3,2003-09-17,2003-04-22 09:31:18,11:34:59, 17.308
"This is the name number 52",91,2004-10-24,2004-10-23 21:19:34,12:41:22, 5.535
"This is the name number 4",74,2007-06-26,2001-07-06 10:17:32,05:31:22, 9.591
"This is the name number 25",51,2001-03-05,2009-04-25 11:50:08,12:48:59, 18.721
"This is the name number 2",69,2009-03-01,2005-06-17 23:49:35,10:39:26, 2.057
"This is the name number 52",82,2009-07-08,2002-10-28 22:23:13,00:12:27, 1.254
"This is the name number 92",27,2008-10-16,2008-02-25 05:36:54,06:09:27, 4.960
"This is the name number 58",84,2002-01-06,2008-03-30 13:31:08,09:11:07, 6.723
"This is the name number 33",72,2001-06-01,2001-11-30 22:23:44,15:49:29, 4.929
"This is the name number 82",58,2009-10-13,2004-08-14 11:58:22,08:48:59, 4.381
"This is the name number 96",84,2002-10-06,2005-10-07 11:47:01,15:08:01, 8.638
"This is the name number 60",83,2005-07-13,2006-09-16 14:10:27,14:37:53, 2.301
"This is the name number 34",32,2008-07-03,2009-10-18 00:03:56,16:21:45, 6.778
"This is the name number 84",71,2003-11-06,2000-09-03 09:17:21,06:16:54, 16.540
"This is the name number 19",65,2010-09-11,2005-11-11 05:04:23,04:24:16, 13.405
